YR,PAT_COUNTY,COUNTY,NPCSEC_CNT,PCSEC_CNT,TOTAL,PCRATE
2018,235,Irion County,8,5,13,38.5
2017,461,Upton County,25,14,39,35.9
2019,109,Culberson County,9,5,14,35.7
2019,351,Newton County,29,16,45,35.6
2017,247,Jim Hogg County,30,16,46,34.8
2016,081,Coke County,17,9,26,34.6
2016,137,Edwards County,10,5,15,33.3
2016,197,Hardeman County,16,8,24,33.3
2018,255,Karnes County,66,31,97,32
2017,351,Newton County,45,21,66,31.8
2017,421,Sherman County,11,5,16,31.3
2017,191,Hall County,9,4,13,30.8
2018,379,Rains County,45,20,65,30.8
2016,087,Collingsworth County,16,7,23,30.4
2016,283,La Salle County,30,13,43,30.2
2016,101,Cottle County,7,3,10,30
2018,247,Jim Hogg County,21,9,30,30
2017,199,Hardin County,310,130,440,29.5
2016,295,Lipscomb County,22,9,31,29
2017,043,Brewster County,42,17,59,28.8
2018,123,DeWitt County,79,32,111,28.8
2016,447,Throckmorton County,10,4,14,28.6
2017,435,Sutton County,20,8,28,28.6
2016,241,Jasper County,194,77,271,28.4
2017,123,DeWitt County,76,30,106,28.3
2017,391,Refugio County,43,17,60,28.3
2018,383,Reagan County,28,11,39,28.2
2019,103,Crane County,28,11,39,28.2
2018,175,Goliad County,31,12,43,27.9
2017,365,Panola County,105,40,145,27.6
2016,151,Fisher County,16,6,22,27.3
2019,333,Mills County,16,6,22,27.3
2017,479,Webb County,2272,850,3122,27.2
2016,323,Maverick County,546,201,747,26.9
2016,505,Zapata County,123,45,168,26.8
2018,479,Webb County,2175,792,2967,26.7
2019,417,Shackelford County,11,4,15,26.7
2016,479,Webb County,2465,892,3357,26.6
2016,149,Fayette County,108,39,147,26.5
2019,479,Webb County,1599,577,2176,26.5
2019,361,Orange County,384,138,522,26.4
2018,109,Culberson County,14,5,19,26.3
2018,361,Orange County,458,163,621,26.2
2019,025,Bee County,111,39,150,26
2019,245,Jefferson County,1128,396,1524,26
2017,223,Hopkins County,200,70,270,25.9
2016,239,Jackson County,89,31,120,25.8
2019,061,Cameron County,1798,624,2422,25.8
2017,175,Goliad County,29,10,39,25.6
2016,407,San Jacinto County,106,36,142,25.4
2018,083,Coleman County,44,15,59,25.4
2019,505,Zapata County,65,22,87,25.3
2017,241,Jasper County,203,68,271,25.1
2017,469,Victoria County,603,202,805,25.1
2018,001,Anderson County,316,106,422,25.1
2016,333,Mills County,18,6,24,25
2016,431,Sterling County,12,4,16,25
2017,333,Mills County,21,7,28,25
2018,043,Brewster County,60,20,80,25
2019,403,Sabine County,39,13,52,25
2018,061,Cameron County,2889,957,3846,24.9
2019,225,Houston County,73,24,97,24.7
2019,199,Hardin County,251,82,333,24.6
2017,323,Maverick County,550,178,728,24.5
2017,061,Cameron County,2935,948,3883,24.4
2018,391,Refugio County,31,10,41,24.4
2016,223,Hopkins County,253,81,334,24.3
2018,199,Hardin County,324,104,428,24.3
2016,057,Calhoun County,150,48,198,24.2
2018,239,Jackson County,119,38,157,24.2
2016,061,Cameron County,3256,1035,4291,24.1
2016,469,Victoria County,625,197,822,24
2017,015,Austin County,165,52,217,24
2019,435,Sutton County,19,6,25,24
2016,199,Hardin County,331,104,435,23.9
2017,115,Dawson County,86,27,113,23.9
2017,457,Tyler County,96,30,126,23.8
2017,483,Wheeler County,32,10,42,23.8
2019,043,Brewster County,32,10,42,23.8
2016,075,Childress County,45,14,59,23.7
2016,361,Orange County,562,175,737,23.7
2016,427,Starr County,554,172,726,23.7
2018,245,Jefferson County,1651,513,2164,23.7
2017,245,Jefferson County,1680,520,2200,23.6
2017,159,Franklin County,49,15,64,23.4
2018,285,Lavaca County,144,44,188,23.4
2018,351,Newton County,49,15,64,23.4
2016,307,McCulloch County,46,14,60,23.3
2018,071,Chambers County,257,78,335,23.3
2016,403,Sabine County,53,16,69,23.2
2017,361,Orange County,519,157,676,23.2
2018,149,Fayette County,126,38,164,23.2
2019,241,Jasper County,139,42,181,23.2
2016,155,Foard County,10,3,13,23.1
2017,137,Edwards County,10,3,13,23.1
2019,071,Chambers County,213,64,277,23.1
2018,387,Red River County,67,20,87,23
2018,469,Victoria County,641,190,831,22.9
2019,123,DeWitt County,64,19,83,22.9
2016,245,Jefferson County,1794,529,2323,22.8
2019,289,Leon County,88,26,114,22.8
2019,407,San Jacinto County,78,23,101,22.8
2019,469,Victoria County,474,140,614,22.8
2016,379,Rains County,34,10,44,22.7
2016,501,Yoakum County,85,25,110,22.7
2017,127,Dimmit County,34,10,44,22.7
2018,495,Winkler County,68,20,88,22.7
2018,373,Polk County,270,79,349,22.6
2019,437,Swisher County,24,7,31,22.6
2016,195,Hansford County,31,9,40,22.5
2017,067,Cass County,148,43,191,22.5
2018,425,Somervell County,45,13,58,22.4
2018,233,Hutchinson County,139,40,179,22.3
2018,195,Hansford County,42,12,54,22.2
2018,417,Shackelford County,14,4,18,22.2
2019,065,Carson County,21,6,27,22.2
2019,087,Collingsworth County,14,4,18,22.2
2019,271,Kinney County,14,4,18,22.2
2016,NA,NA,3888,1101,4989,22.1
2017,373,Polk County,254,72,326,22.1
2016,071,Chambers County,245,69,314,22
2017,001,Anderson County,329,93,422,22
2017,425,Somervell County,39,11,50,22
2019,001,Anderson County,220,62,282,22
2016,163,Frio County,75,21,96,21.9
2016,291,Liberty County,513,144,657,21.9
2018,207,Haskell County,25,7,32,21.9
2016,073,Cherokee County,398,111,509,21.8
2017,071,Chambers County,255,71,326,21.8
2017,369,Parmer County,43,12,55,21.8
2017,481,Wharton County,312,87,399,21.8
2018,185,Grimes County,165,46,211,21.8
2019,089,Colorado County,97,27,124,21.8
2016,069,Castro County,36,10,46,21.7
2016,267,Kimble County,18,5,23,21.7
2016,039,Brazoria County,2698,743,3441,21.6
2019,051,Burleson County,76,21,97,21.6
2017,239,Jackson County,117,32,149,21.5
2017,291,Liberty County,574,157,731,21.5
2017,505,Zapata County,113,31,144,21.5
2019,489,Willacy County,84,23,107,21.5
2017,285,Lavaca County,147,40,187,21.4
2018,243,Jeff Davis County,11,3,14,21.4
2019,007,Aransas County,63,17,80,21.3
2016,351,Newton County,52,14,66,21.2
2016,371,Pecos County,104,28,132,21.2
2017,325,Medina County,278,75,353,21.2
2017,493,Wilson County,245,66,311,21.2
2018,365,Panola County,108,29,137,21.2
2018,415,Scurry County,104,28,132,21.2
2019,167,Galveston County,1621,436,2057,21.2
2016,109,Culberson County,15,4,19,21.1
2016,395,Robertson County,112,30,142,21.1
2016,437,Swisher County,30,8,38,21.1
2017,197,Hardeman County,15,4,19,21.1
2017,NA,NA,3584,961,4545,21.1
2017,141,El Paso County,6195,1645,7840,21
2016,141,El Paso County,6606,1748,8354,20.9
2017,039,Brazoria County,2599,685,3284,20.9
2017,133,Eastland County,125,33,158,20.9
2018,141,El Paso County,5847,1542,7389,20.9
2018,505,Zapata County,106,28,134,20.9
2016,157,Fort Bend County,5335,1400,6735,20.8
2016,181,Grayson County,855,225,1080,20.8
2016,247,Jim Hogg County,42,11,53,20.8
2017,283,La Salle County,42,11,53,20.8
2018,105,Crockett County,19,5,24,20.8
2018,325,Medina County,248,65,313,20.8
2018,369,Parmer County,57,15,72,20.8
2018,NA,NA,4028,1056,5084,20.8
2016,373,Polk County,272,71,343,20.7
2016,397,Rockwall County,594,155,749,20.7
2017,277,Lamar County,330,86,416,20.7
2018,037,Bowie County,603,157,760,20.7
2018,407,San Jacinto County,107,28,135,20.7
2016,085,Collin County,5539,1437,6976,20.6
2016,127,Dimmit County,27,7,34,20.6
2017,257,Kaufman County,853,221,1074,20.6
2017,427,Starr County,558,145,703,20.6
2017,429,Stephens County,50,13,63,20.6
2019,277,Lamar County,243,63,306,20.6
2019,349,Navarro County,250,65,315,20.6
2016,457,Tyler County,97,25,122,20.5
2017,075,Childress County,35,9,44,20.5
2017,171,Gillespie County,140,36,176,20.5
2017,225,Houston County,101,26,127,20.5
2018,471,Walker County,406,105,511,20.5
2019,321,Matagorda County,237,61,298,20.5
2017,397,Rockwall County,618,158,776,20.4
2018,457,Tyler County,98,25,123,20.3
2019,501,Yoakum County,59,15,74,20.3
2017,085,Collin County,5637,1429,7066,20.2
2018,181,Grayson County,894,227,1121,20.2
2018,493,Wilson County,237,60,297,20.2
2019,039,Brazoria County,2006,509,2515,20.2
2019,285,Lavaca County,95,24,119,20.2
2017,185,Grimes County,155,39,194,20.1
2018,241,Jasper County,195,49,244,20.1
2018,289,Leon County,111,28,139,20.1
2019,493,Wilson County,183,46,229,20.1
2016,019,Bandera County,92,23,115,20
2016,037,Bowie County,651,163,814,20
2016,191,Hall County,12,3,15,20
2016,225,Houston County,128,32,160,20
2016,317,Martin County,56,14,70,20
2017,057,Calhoun County,128,32,160,20
2017,083,Coleman County,40,10,50,20
2017,235,Irion County,8,2,10,20
2017,295,Lipscomb County,16,4,20,20
2017,431,Sterling County,8,2,10,20
